Sent,Tags,Item_Id,Condition,surprisal_NC,surprisal_DC
के,PreRCVerb,11,b,0.09645,0.21854
नीचे,PreRCVerb,11,b,0.38014,0.94146
बनायी,RCVerb,11,b,0.88856,0.25659
थी,RCVerb,11,b,0.12901,0.22499
अलमारी,RCObj,11,b,0.42321,1.07117
यहाँ,PreMainVerb,11,b,0.49953,1.44343
कई,PreMainVerb,11,b,0.22719,1.0513
सालों,PreMainVerb,11,b,0.22885,0.6489
से,PreMainVerb,11,b,0.17098,0.25803
काम,MainVerb,11,b,0.69343,0.9327
कर,MainVerb,11,b,0.95449,0.25321
रहा,MainVerb,11,b,0.14302,0.1785
है।,MainVerb,11,b,0.56226,0.61237
वह,NP1,11,c,0.00054,0.03664
अलमारी,NP1,11,c,0.7541,0.09547
जिसको,RCPn,11,c,0.20924,0.91186
उस,RCSubj,11,c,0.26311,0.98728
बढ़ई,RCSubj,11,c,0.22969,0.63322
ने,RCSubj,11,c,0.16327,0.31225
नीम,PreRCVerb,11,c,0.71185,0.90681
के,PreRCVerb,11,c,0.09648,0.21854
पेड़,PreRCVerb,11,c,0.90408,0.90233
के,PreRCVerb,11,c,0.09645,0.21854
नीचे,PreRCVerb,11,c,0.38014,0.94146
बनाया,RCVerb,11,c,0.88983,0.25611
था,RCVerb,11,c,0.12714,0.21921
लकड़ी,PreMainVerb,11,c,0.42442,1.07088
की,PreMainVerb,11,c,0.54704,0.22122
है।,MainVerb,11,c,0.47276,0.55997
वह,NP1,11,d,0.00054,0.03664
अलमारी,NP1,11,d,0.7541,0.09547
जिसको,RCPn,11,d,0.20924,0.91186
नीम,PreRCVerb,11,d,0.21062,0.73193
के,PreRCVerb,11,d,0.13831,0.24431
पेड़,PreRCVerb,11,d,0.71157,0.85786
के,PreRCVerb,11,d,0.09645,0.21854
नीचे,PreRCVerb,11,d,0.38014,0.94146
बनाया,RCVerb,11,d,0.88983,0.25611
था,RCVerb,11,d,0.12714,0.21921
उस,RCSubj,11,d,0.51426,1.41129
बढ़ई,RCSubj,11,d,0.20797,0.59838
ने,RCSubj,11,d,0.16327,0.31225
लकड़ी,PreMainVerb,11,d,0.71181,0.90681
की,PreMainVerb,11,d,1.00073,0.25631
है।,MainVerb,11,d,0.47276,0.55997
वह,NP1,12,a,0.00071,0.10484
दुकानदार,NP1,12,a,0.2016,0.88503
जिसने,RCPn,12,a,0.00891,0.05763
पुरानी,RCObj,12,a,0.09365,0.50685
बन्दूक,RCObj,12,a,0.97647,1.79008
इस,PreRCVerb,12,a,0.00761,0.12467
साल,PreRCVerb,12,a,0.39732,1.77759
एक-दो,PreRCVerb,12,a,0.03336,0.16639
बार,PreRCVerb,12,a,0.45459,1.76796
म्यूजियम,PreRCVerb,12,a,0.82475,0.63209
में,PreRCVerb,12,a,0.00975,0.10869
दिखायी,RCVerb,12,a,1.98284,0.229
थी,RCVerb,12,a,0.0022,0.00471
मशहूर,PreMainVerb,12,a,0.13998,0.2876
संग्रहकर्ता,PreMainVerb,12,a,0.17105,0.73745
है।,MainVerb,12,a,0.56752,0.24893
वह,NP1,12,b,0.00071,0.10484
दुकानदार,NP1,12,b,0.2016,0.88503
जिसने,RCPn,12,b,0.00891,0.05763
इस,PreRCVerb,12,b,0.01067,0.10931
साल,PreRCVerb,12,b,0.5595,1.23177
एक-दो,PreRCVerb,12,b,0.02214,0.31762
बार,PreRCVerb,12,b,0.40702,1.2229
म्यूजियम,PreRCVerb,12,b,0.92161,0.67193
में,PreRCVerb,12,b,0.00975,0.10869
दिखायी,RCVerb,12,b,1.75947,0.33835
थी,RCVerb,12,b,0.0022,0.00471
पुरानी,RCObj,12,b,0.13939,0.29573
बन्दूक,RCObj,12,b,0.17115,0.73782
मशहूर,PreMainVerb,12,b,0.55323,0.60076
संग्रहकर्ता,PreMainVerb,12,b,0.17442,0.7439
है।,MainVerb,12,b,0.56752,0.24893
वह,NP1,12,c,0.00071,0.10484
बन्दूक,NP1,12,c,0.20173,0.88503
जिसको,RCPn,12,c,0.00893,0.05763
उस,RCSubj,12,c,0.02087,0.08714
दुकानदार,RCSubj,12,c,0.65485,1.15604
ने,RCSubj,12,c,0.01344,0.15816
इस,PreRCVerb,12,c,0.00519,0.12507
साल,PreRCVerb,12,c,0.30173,2.29641
एक-दो,PreRCVerb,12,c,0.0222,0.31762
बार,PreRCVerb,12,c,0.40967,1.2229
म्यूजियम,PreRCVerb,12,c,0.92161,0.67193
में,PreRCVerb,12,c,0.00975,0.10869
दिखाया,RCVerb,12,c,2.00942,0.33783
था,RCVerb,12,c,0.00218,0.00442
अंग्रेज़ो,PreMainVerb,12,c,0.08549,0.34696
के,PreMainVerb,12,c,0.65981,0.62371
ज़माने,PreMainVerb,12,c,0.25841,0.76625
की,PreMainVerb,12,c,0.98127,0.25374
है।,MainVerb,12,c,0.45066,0.55819
वह,NP1,12,d,0.00071,0.10484
बन्दूक,NP1,12,d,0.20173,0.88503
जिसको,RCPn,12,d,0.00893,0.05763
इस,PreRCVerb,12,d,0.01068,0.10931
साल,PreRCVerb,12,d,0.55991,1.23177
एक-दो,PreRCVerb,12,d,0.02214,0.31762
बार,PreRCVerb,12,d,0.40702,1.2229
म्यूजियम,PreRCVerb,12,d,0.92161,0.67193
में,PreRCVerb,12,d,0.00975,0.10869
दिखाया,RCVerb,12,d,1.75311,0.33783
था,RCVerb,12,d,0.00218,0.00442
उस,RCSubj,12,d,0.20854,0.67385
दुकानदार,RCSubj,12,d,0.15998,0.66618
ने,RCSubj,12,d,0.16327,0.31225
अंग्रेज़ो,PreMainVerb,12,d,0.73701,0.69518
के,PreMainVerb,12,d,0.32497,0.53993
ज़माने,PreMainVerb,12,d,0.41842,0.7909
की,PreMainVerb,12,d,0.98127,0.25374
है।,MainVerb,12,d,0.45066,0.55819
वह,NP1,13,a,0.00071,0.10484
प्रोफेसर,NP1,13,a,0.20125,0.88503
जिसने,RCPn,13,a,0.00894,0.05763
पहेली,RCObj,13,a,0.07692,0.40182
क्लास,PreRCVerb,13,a,0.92796,2.29379
में,PreRCVerb,13,a,0.01161,0.11223
सुलझाई,RCVerb,13,a,1.28829,0.16723
थी,RCVerb,13,a,0.00221,0.00475
गणित,PreMainVerb,13,a,0.12821,0.66873
बहुत,PreMainVerb,13,a,0.42477,0.63814
अच्छा,PreMainVerb,13,a,0.17856,0.25556
पढ़ाते,MainVerb,13,a,0.22084,0.11303
हैं।,MainVerb,13,a,0.13605,0.23748
वह,NP1,13,b,0.00071,0.10484
प्रोफेसर,NP1,13,b,0.20125,0.88503
जिसने,RCPn,13,b,0.00894,0.05763
क्लास,PreRCVerb,13,b,1.16995,0.58265
में,PreRCVerb,13,b,0.01139,0.1102
सुलझाई,RCVerb,13,b,1.01819,0.22512
थी,RCVerb,13,b,0.00221,0.00475
पहेली,RCObj,13,b,0.16603,0.56392
गणित,PreMainVerb,13,b,0.23847,0.80014
बहुत,PreMainVerb,13,b,0.58347,0.69605
अच्छा,PreMainVerb,13,b,0.17856,0.25556
पढ़ाते,MainVerb,13,b,0.22084,0.11303
हैं।,MainVerb,13,b,0.13605,0.23748
वह,NP1,13,c,0.00071,0.10484
पहेली,NP1,13,c,0.20173,0.88503
जिसको,RCPn,13,c,0.00893,0.05763
उस,RCSubj,13,c,0.02087,0.08714
प्रोफेसर,RCSubj,13,c,0.65608,1.15604
ने,RCSubj,13,c,0.01345,0.15816
क्लास,PreRCVerb,13,c,0.67876,0.63462
में,PreRCVerb,13,c,0.0122,0.11566
सुलझाया,RCVerb,13,c,1.57127,0.27741
था,RCVerb,13,c,0.00219,0.00447
बहुत,PreMainVerb,13,c,0.10178,0.3884
कठिन,PreMainVerb,13,c,0.1755,0.36992
थी।,MainVerb,13,c,0.4182,0.33081
वह,NP1,13,d,0.00071,0.10484
पहेली,NP1,13,d,0.20173,0.88503
जिसको,RCPn,13,d,0.00893,0.05763
क्लास,PreRCVerb,13,d,1.1688,0.58265
में,PreRCVerb,13,d,0.01139,0.1102
सुलझाया,RCVerb,13,d,1.01866,0.22512
था,RCVerb,13,d,0.00219,0.00447
उस,RCSubj,13,d,0.2098,0.66822
प्रोफेसर,RCSubj,13,d,0.16063,0.67069
ने,RCSubj,13,d,0.16328,0.31225
बहुत,PreMainVerb,13,d,0.58724,0.70836
कठिन,PreMainVerb,13,d,0.2282,0.38749
थी।,MainVerb,13,d,0.4182,0.33081
वह,NP1,14,a,0.00071,0.10484
ग्राहक,NP1,14,a,0.20192,0.88503
जिसने,RCPn,14,a,0.00893,0.05763
कमीज,RCObj,14,a,1.16978,0.58196
बहुत,PreRCVerb,14,a,0.046,0.13633
जल्दीबाजी,PreRCVerb,14,a,0.59149,2.57874
में,PreRCVerb,14,a,0.01139,0.11141
खरीदी,RCVerb,14,a,1.23532,0.16861
थी,RCVerb,14,a,0.00221,0.00476
इस,PreMainVerb,14,a,0.3001,0.83285
दुकान,PreMainVerb,14,a,0.16445,0.62649
में,PreMainVerb,14,a,0.14869,0.23444
कई,PreMainVerb,14,a,0.56859,1.20706
बार,PreMainVerb,14,a,0.20789,0.74132
आ,MainVerb,14,a,0.63079,0.23788
चुका,MainVerb,14,a,0.18988,0.22037
है।,MainVerb,14,a,0.45736,0.5783
वह,NP1,14,b,0.00071,0.10484
ग्राहक,NP1,14,b,0.20192,0.88503
जिसने,RCPn,14,b,0.00893,0.05763
बहुत,PreRCVerb,14,b,0.07137,0.12019
जल्दीबाजी,PreRCVerb,14,b,0.87694,1.71905
में,PreRCVerb,14,b,0.0111,0.11141
खरीदी,RCVerb,14,b,1.29664,0.16861
थी,RCVerb,14,b,0.00221,0.00476
कमीज,RCObj,14,b,0.12818,0.6707
इस,PreMainVerb,14,b,0.58394,1.13545
दुकान,PreMainVerb,14,b,0.16735,0.65582
में,PreMainVerb,14,b,0.14869,0.23444
कई,PreMainVerb,14,b,0.56859,1.20706
बार,PreMainVerb,14,b,0.20789,0.74132
आ,MainVerb,14,b,0.63079,0.23788
चुका,MainVerb,14,b,0.18988,0.22037
है।,MainVerb,14,b,0.45736,0.5783
वह,NP1,14,c,0.00071,0.10484
कमीज,NP1,14,c,0.20164,0.88503
जिसको,RCPn,14,c,0.00893,0.05763
उस,RCSubj,14,c,0.02087,0.08714
ग्राहक,RCSubj,14,c,0.65389,1.15604
ने,RCSubj,14,c,0.01344,0.15816
बहुत,PreRCVerb,14,c,0.03391,0.1337
जल्दीबाजी,PreRCVerb,14,c,0.50478,2.61947
में,PreRCVerb,14,c,0.01139,0.11141
खरीदा,RCVerb,14,c,1.55594,0.16863
था,RCVerb,14,c,0.00219,0.00448
जापान,PreMainVerb,14,c,0.08584,0.35125
में,PreMainVerb,14,c,0.70245,0.67226
बनती,MainVerb,14,c,0.25655,0.1127
है।,MainVerb,14,c,0.80137,0.56013
वह,NP1,14,d,0.00071,0.10484
कमीज,NP1,14,d,0.20164,0.88503
जिसको,RCPn,14,d,0.00893,0.05763
बहुत,PreRCVerb,14,d,0.07143,0.12019
जल्दीबाजी,PreRCVerb,14,d,0.87751,1.71905
में,PreRCVerb,14,d,0.0111,0.11141
खरीदा,RCVerb,14,d,1.29523,0.16863
था,RCVerb,14,d,0.00219,0.00448
उस,RCSubj,14,d,0.20949,0.66639
ग्राहक,RCSubj,14,d,0.16063,0.67213
ने,RCSubj,14,d,0.16319,0.31225
जापान,PreMainVerb,14,d,0.7382,0.69947
में,PreMainVerb,14,d,0.34856,0.58322
बनती,MainVerb,14,d,0.48321,0.12864
है।,MainVerb,14,d,0.80137,0.56013
वह,NP1,15,a,0.00071,0.10484
लड़का,NP1,15,a,0.20139,0.88503
जिसने,RCPn,15,a,0.00893,0.05763
मोटरसाइकिल,RCObj,15,a,1.16987,0.58196
पिछले,PreRCVerb,15,a,0.04408,0.51162
हफते,PreRCVerb,15,a,0.95921,0.26661
खरीदी,RCVerb,15,a,0.07626,0.02274
थी,RCVerb,15,a,0.24179,0.39291
डाक्टरी,PreMainVerb,15,a,0.30727,0.87882
की,PreMainVerb,15,a,0.21586,0.29567
पढ़ाई,MainVerb,15,a,0.48358,0.21183
कर,MainVerb,15,a,0.08391,0.22739
रहा,MainVerb,15,a,0.13419,0.22618
है।,MainVerb,15,a,0.82102,0.55345
वह,NP1,15,b,0.00071,0.10484
लड़का,NP1,15,b,0.20139,0.88503
जिसने,RCPn,15,b,0.00893,0.05763
पिछले,PreRCVerb,15,b,0.08825,0.5069
हफते,PreRCVerb,15,b,0.99636,0.20993
खरीदी,RCVerb,15,b,0.07626,0.02274
थी,RCVerb,15,b,0.24179,0.39291
मोटरसाइकिल,RCObj,15,b,0.33576,0.76837
डाक्टरी,PreMainVerb,15,b,0.28515,0.7402
की,PreMainVerb,15,b,0.14135,0.24611
पढ़ाई,MainVerb,15,b,0.67217,0.25021
कर,MainVerb,15,b,0.08391,0.22739
रहा,MainVerb,15,b,0.13419,0.22618
है।,MainVerb,15,b,0.82102,0.55345
वह,NP1,15,c,0.00071,0.10484
मोटरसाइकिल,NP1,15,c,0.20168,0.88503
जिसको,RCPn,15,c,0.00892,0.05763
उस,RCSubj,15,c,0.02087,0.08714
लड़के,RCSubj,15,c,0.65505,1.15604
ने,RCSubj,15,c,0.01345,0.15816
पिछले,PreRCVerb,15,c,0.03237,0.484
हफते,PreRCVerb,15,c,1.1867,0.25869
खरीदा,RCVerb,15,c,0.07625,0.02273
था,RCVerb,15,c,0.23958,0.3837
बजाज,PreMainVerb,15,c,0.3471,0.60481
की,PreMainVerb,15,c,0.66864,0.70591
नई,PreMainVerb,15,c,0.31086,0.39323
पेशकश,PreMainVerb,15,c,0.2802,0.69007
है।,MainVerb,15,c,0.58941,0.24918
वह,NP1,15,d,0.00071,0.10484
मोटरसाइकिल,NP1,15,d,0.20168,0.88503
जिसको,RCPn,15,d,0.00892,0.05763
पिछले,PreRCVerb,15,d,0.08833,0.5069
हफते,PreRCVerb,15,d,0.99641,0.20993
खरीदा,RCVerb,15,d,0.07625,0.02273
था,RCVerb,15,d,0.23958,0.3837
उस,RCSubj,15,d,0.37189,1.08342
लड़के,RCSubj,15,d,0.20733,0.61625
ने,RCSubj,15,d,0.16332,0.31225
बजाज,PreMainVerb,15,d,0.76068,0.66105
की,PreMainVerb,15,d,0.32983,0.61328
नई,PreMainVerb,15,d,0.48244,0.41856
पेशकश,PreMainVerb,15,d,0.2802,0.69007
है।,MainVerb,15,d,0.58941,0.24918
वह,NP1,16,a,0.00071,0.10484
बच्ची,NP1,16,a,0.20169,0.88503
जिसने,RCPn,16,a,0.00892,0.05763
डिब्बी,RCObj,16,a,1.16992,0.58196
धीरे,PreRCVerb,16,a,0.09735,0.46413
से,PreRCVerb,16,a,1.0275,0.74627
चुपके-चुपके,PreRCVerb,16,a,0.54376,1.01056
खोली,RCVerb,16,a,1.35142,0.36491
थी,RCVerb,16,a,0.00336,0.00424
बहुत,PreMainVerb,16,a,0.1414,0.34313
शरारती,PreMainVerb,16,a,0.21725,0.33564
है।,MainVerb,16,a,0.21261,0.14546
वह,NP1,16,b,0.00071,0.10484
बच्ची,NP1,16,b,0.20169,0.88503
जिसने,RCPn,16,b,0.00892,0.05763
धीरे,PreRCVerb,16,b,0.14376,0.41509
से,PreRCVerb,16,b,0.75182,0.75564
चुपके-चुपके,PreRCVerb,16,b,0.54376,1.00088
खोली,RCVerb,16,b,1.40159,0.30499
थी,RCVerb,16,b,0.00336,0.00424
डिब्बी,RCObj,16,b,0.18739,0.59436
बहुत,PreMainVerb,16,b,0.46429,0.59253
शरारती,PreMainVerb,16,b,0.22003,0.34291
है।,MainVerb,16,b,0.21261,0.14546
वह,NP1,16,c,0.00071,0.10484
डिब्बी,NP1,16,c,0.20173,0.88503
जिसको,RCPn,16,c,0.00893,0.05763
उस,RCSubj,16,c,0.02087,0.08714
बच्ची,RCSubj,16,c,0.65471,1.15604
ने,RCSubj,16,c,0.01344,0.15816
धीरे,PreRCVerb,16,c,0.07191,0.43673
से,PreRCVerb,16,c,0.57735,0.79718
चुपके-चुपके,PreRCVerb,16,c,0.54376,0.91495
खोला,RCVerb,16,c,1.59562,0.35746
था,RCVerb,16,c,0.00333,0.00399
मेरी,PreMainVerb,16,c,0.22344,0.93002
दादी,PreMainVerb,16,c,0.2345,0.84945
की,PreMainVerb,16,c,0.77179,0.13189
है।,MainVerb,16,c,0.47816,0.55821
वह,NP1,16,d,0.00071,0.10484
डिब्बी,NP1,16,d,0.20173,0.88503
जिसको,RCPn,16,d,0.00893,0.05763
धीरे,PreRCVerb,16,d,0.14388,0.41509
से,PreRCVerb,16,d,0.75182,0.75564
चुपके-चुपके,PreRCVerb,16,d,0.54376,1.00088
खोला,RCVerb,16,d,1.39884,0.30506
था,RCVerb,16,d,0.00333,0.00399
उस,RCSubj,16,d,0.23107,0.75305
बच्ची,RCSubj,16,d,0.2197,0.61007
ने,RCSubj,16,d,0.16322,0.31225
मेरी,PreMainVerb,16,d,0.65721,1.70844
दादी,PreMainVerb,16,d,0.30063,0.64129
की,PreMainVerb,16,d,0.77179,0.13423
है।,MainVerb,16,d,0.47816,0.55821
वह,NP1,17,a,0.00071,0.10484
आदमी,NP1,17,a,0.20192,0.89087
जिसने,RCPn,17,a,0.00896,0.05765
टाई,RCObj,17,a,1.17147,0.58196
बड़ी,PreRCVerb,17,a,0.04535,0.52318
स्टाईल,PreRCVerb,17,a,0.66016,2.44861
से,PreRCVerb,17,a,0.01303,0.12386
पहनी,RCVerb,17,a,1.23285,0.16962
हुई,RCVerb,17,a,0.00234,0.00434
थी,RCVerb,17,a,0.04138,0.02438
हमारे,PreMainVerb,17,a,0.20075,0.84252
कालेज,PreMainVerb,17,a,0.17575,0.87691
में,PreMainVerb,17,a,0.14904,0.11021
काम,MainVerb,17,a,0.66194,0.64815
करता,MainVerb,17,a,0.91413,0.17348
है।,MainVerb,17,a,0.51139,0.57691
वह,NP1,17,b,0.00071,0.10484
आदमी,NP1,17,b,0.20192,0.89087
जिसने,RCPn,17,b,0.00896,0.05765
बड़ी,PreRCVerb,17,b,0.09072,0.51819
स्टाईल,PreRCVerb,17,b,0.97622,1.79463
से,PreRCVerb,17,b,0.01269,0.12386
पहनी,RCVerb,17,b,1.29433,0.16962
हुई,RCVerb,17,b,0.00234,0.00434
थी,RCVerb,17,b,0.04138,0.02438
टाई,RCObj,17,b,0.13007,0.67168
हमारे,PreMainVerb,17,b,0.48285,1.41542
कालेज,PreMainVerb,17,b,0.17931,0.73839
में,PreMainVerb,17,b,0.14904,0.11021
काम,MainVerb,17,b,0.66194,0.64815
करता,MainVerb,17,b,0.91413,0.17782
है।,MainVerb,17,b,0.51139,0.57691
वह,NP1,17,c,0.00071,0.10484
टाई,NP1,17,c,0.20178,0.88503
जिसको,RCPn,17,c,0.00893,0.05763
उस,RCSubj,17,c,0.02087,0.08714
आदमी,RCSubj,17,c,0.65373,1.16663
ने,RCSubj,17,c,0.01345,0.15734
बड़ी,PreRCVerb,17,c,0.03343,0.49489
स्टाईल,PreRCVerb,17,c,0.5354,2.48613
से,PreRCVerb,17,c,0.01303,0.12386
पहना,RCVerb,17,c,1.5562,0.16918
हुआ,RCVerb,17,c,0.00232,0.0043
था,RCVerb,17,c,0.0416,0.02479
आज,PreMainVerb,17,c,0.13101,0.71669
कल,PreMainVerb,17,c,0.48937,0.99211
फैशन,PreMainVerb,17,c,0.51099,0.94968
में,PreMainVerb,17,c,0.21469,0.26075
है।,MainVerb,17,c,0.42098,0.23734
वह,NP1,17,d,0.00071,0.10484
टाई,NP1,17,d,0.20178,0.88503
जिसको,RCPn,17,d,0.00893,0.05763
बड़ी,PreRCVerb,17,d,0.0908,0.51819
स्टाईल,PreRCVerb,17,d,0.97686,1.79524
से,PreRCVerb,17,d,0.01269,0.12386
पहना,RCVerb,17,d,1.29491,0.16918
हुआ,RCVerb,17,d,0.00232,0.0043
था,RCVerb,17,d,0.0416,0.02479
उस,RCSubj,17,d,0.21189,0.67154
आदमी,RCSubj,17,d,0.16075,0.66184
ने,RCSubj,17,d,0.16311,0.3109
आज,PreMainVerb,17,d,0.66316,1.04594
कल,PreMainVerb,17,d,0.85802,1.06054
फैशन,PreMainVerb,17,d,0.51099,0.94968
में,PreMainVerb,17,d,0.21469,0.26075
है।,MainVerb,17,d,0.42098,0.23734
वह,NP1,18,a,0.00071,0.10484
औरत,NP1,18,a,0.20173,0.88503
जिसने,RCPn,18,a,0.00892,0.05763
लाल,RCObj,18,a,0.0145,0.19439
गाड़ी,RCObj,18,a,0.97953,1.55161
पिछले,PreRCVerb,18,a,0.05576,2.93956
महीने,PreRCVerb,18,a,0.66666,1.13608
खरीदी,RCVerb,18,a,1.73903,0.16528
थी,RCVerb,18,a,0.00454,0.00428
मेरे,PreMainVerb,18,a,0.25335,0.9291
बेटे,PreMainVerb,18,a,0.29251,0.88598
की,PreMainVerb,18,a,0.14047,0.10851
टीचर,PreMainVerb,18,a,0.78163,0.66382
है।,MainVerb,18,a,0.80732,0.74768
वह,NP1,18,b,0.00071,0.10484
औरत,NP1,18,b,0.20173,0.88503
जिसने,RCPn,18,b,0.00892,0.05763
पिछले,PreRCVerb,18,b,0.08825,0.5069
महीने,PreRCVerb,18,b,0.96378,1.79679
खरीदी,RCVerb,18,b,1.29375,0.16528
थी,RCVerb,18,b,0.00454,0.00428
लाल,RCObj,18,b,0.22506,0.25862
गाड़ी,RCObj,18,b,0.28891,0.65927
मेरे,PreMainVerb,18,b,0.68019,1.64334
बेटे,PreMainVerb,18,b,0.29604,0.74639
की,PreMainVerb,18,b,0.14047,0.10851
टीचर,PreMainVerb,18,b,0.78163,0.66382
है।,MainVerb,18,b,0.80732,0.74768
वह,NP1,18,c,0.00054,0.03664
लाल,NP1,18,c,0.00421,0.22762
गाड़ी,NP1,18,c,0.4239,1.66648
जिसको,RCPn,18,c,0.01896,0.36439
उस,RCSubj,18,c,0.02992,0.07697
औरत,RCSubj,18,c,0.88782,1.08522
ने,RCSubj,18,c,0.01345,0.15816
पिछले,PreRCVerb,18,c,0.03238,0.484
महीने,PreRCVerb,18,c,0.52697,3.4938
खरीदा,RCVerb,18,c,2.30426,0.04106
था,RCVerb,18,c,0.00449,0.30964
लोगो,PreMainVerb,18,c,0.24551,1.05497
में,PreMainVerb,18,c,0.22662,0.36364
काफी,PreMainVerb,18,c,0.50797,1.07421
लोकप्रिय,PreMainVerb,18,c,0.31675,0.41653
है।,MainVerb,18,c,0.24299,0.13981
वह,NP1,18,d,0.00071,0.10484
लाल,NP1,18,d,0.05211,1.2569
गाड़ी,NP1,18,d,0.80796,1.88265
जिसको,RCPn,18,d,0.01618,0.68531
पिछले,PreRCVerb,18,d,0.12897,0.53506
महीने,PreRCVerb,18,d,1.49075,0.50852
खरीदा,RCVerb,18,d,1.23548,0.30024
था,RCVerb,18,d,0.00449,0.23601
उस,RCSubj,18,d,0.25628,1.88734
औरत,RCSubj,18,d,0.27769,0.52024
ने,RCSubj,18,d,0.16328,0.31349
लोगो,PreMainVerb,18,d,0.78124,0.9192
में,PreMainVerb,18,d,0.10314,0.23579
काफी,PreMainVerb,18,d,0.82109,1.09264
लोकप्रिय,PreMainVerb,18,d,0.31675,0.29501
है।,MainVerb,18,d,0.24299,0.19955
वह,NP1,19,a,0.00071,0.10484
डाक्टर,NP1,19,a,0.20172,0.88503
जिसने,RCPn,19,a,0.00894,0.05763
दवाईयां,RCObj,19,a,1.17056,0.58196
कल,PreRCVerb,19,a,0.86138,0.60546
शाम,PreRCVerb,19,a,1.50661,0.68016
फेकीं,RCVerb,19,a,1.23132,0.34061
थीं,RCVerb,19,a,0.00464,0.00432
बहुत,PreMainVerb,19,a,0.18123,0.33793
होशियार,PreMainVerb,19,a,0.25993,0.33202
है।,MainVerb,19,a,0.23992,0.14686
वह,NP1,19,b,0.00071,0.10484
डाक्टर,NP1,19,b,0.20172,0.88503
जिसने,RCPn,19,b,0.00894,0.05763
कल,PreRCVerb,19,b,1.17425,0.52839
शाम,PreRCVerb,19,b,0.86663,0.67365
फेकीं,RCVerb,19,b,1.23157,0.28046
थीं,RCVerb,19,b,0.00464,0.00432
दवाईयां,RCObj,19,b,0.24559,0.5846
बहुत,PreMainVerb,19,b,0.50546,1.2062
होशियार,PreMainVerb,19,b,0.26525,0.3367
है।,MainVerb,19,b,0.24309,0.15203
वह,NP1,19,c,0.00071,0.10484
दवाईयां,NP1,19,c,0.2018,0.88503
जिनको,RCPn,19,c,0.00893,0.05763
उस,RCSubj,19,c,0.02087,0.08714
डाक्टर,RCSubj,19,c,0.65459,1.15604
ने,RCSubj,19,c,0.01345,0.15816
कल,PreRCVerb,19,c,0.67117,0.57673
शाम,PreRCVerb,19,c,0.68963,0.60904
फेका,RCVerb,19,c,1.80581,0.33331
था,RCVerb,19,c,0.0045,0.00403
खराब,PreMainVerb,19,c,0.22512,0.25325
हो,MainVerb,19,c,0.22766,0.10471
गईं,MainVerb,19,c,0.1034,0.19881
थीं।,MainVerb,19,c,0.15638,0.22515
वह,NP1,19,d,0.00071,0.10484
दवाईयां,NP1,19,d,0.2018,0.88503
जिनको,RCPn,19,d,0.00893,0.05763
कल,PreRCVerb,19,d,1.17336,0.52839
शाम,PreRCVerb,19,d,0.86663,0.67365
फेका,RCVerb,19,d,1.23178,0.28046
था,RCVerb,19,d,0.0045,0.00403
उस,RCSubj,19,d,0.25662,0.76705
डाक्टर,RCSubj,19,d,0.27806,0.60176
ने,RCSubj,19,d,0.16327,0.31225
खराब,PreMainVerb,19,d,0.64157,0.5907
हो,MainVerb,19,d,0.37401,0.11963
गईं,MainVerb,19,d,0.1034,0.19881
थीं।,MainVerb,19,d,0.15638,0.22515
वह,NP1,20,a,0.00071,0.10484
इंजीनियर,NP1,20,a,0.20143,0.88503
जिसने,RCPn,20,a,0.00892,0.05763
वह,RCObj,20,a,0.02038,0.10271
बिल्डिंग,RCObj,20,a,0.66509,1.23752
बहुत,PreRCVerb,20,a,0.07545,0.3315
धीरे-धीरे,PreRCVerb,20,a,0.38524,1.16845
बनायी,RCVerb,20,a,1.38912,0.35418
थी,RCVerb,20,a,0.00334,0.00417
मरे,PreMainVerb,20,a,0.09353,0.02642
दोस्त,PreMainVerb,20,a,0.35022,0.99303
की,PreMainVerb,20,a,0.27524,0.45204
कंपनी,PreMainVerb,20,a,0.46946,0.74477
में,PreMainVerb,20,a,0.10348,0.23554
काम,MainVerb,20,a,0.91515,0.93378
करता,MainVerb,20,a,0.94006,0.25001
है।,MainVerb,20,a,0.53803,0.57645
वह,NP1,20,b,0.00071,0.10484
इंजीनियर,NP1,20,b,0.20143,0.88503
जिसने,RCPn,20,b,0.00892,0.05763
बहुत,PreRCVerb,20,b,0.14608,0.33867
धीरे-धीरे,PreRCVerb,20,b,0.27439,1.15755
बनायी,RCVerb,20,b,1.21333,0.29902
थी,RCVerb,20,b,0.00334,0.00417
वह,RCObj,20,b,0.2315,0.87408
बिल्डिंग,RCObj,20,b,0.21868,0.58619
मरे,PreMainVerb,20,b,0.67995,0.24425
दोस्त,PreMainVerb,20,b,0.36118,1.03429
की,PreMainVerb,20,b,0.27524,0.45204
कंपनी,PreMainVerb,20,b,0.46946,0.74477
में,PreMainVerb,20,b,0.10348,0.23554
काम,MainVerb,20,b,0.91515,0.93378
करता,MainVerb,20,b,0.94006,0.25001
है।,MainVerb,20,b,0.53803,0.57645
हमारी,NP1,20,c,0.00074,0.04827
बिल्डिंग,NP1,20,c,0.60307,0.71962
जिसको,RCPn,20,c,0.0144,0.1368
उस,RCSubj,20,c,0.02087,0.08714
इंजीनियर,RCSubj,20,c,0.6553,1.15604
ने,RCSubj,20,c,0.01343,0.15816
बहुत,PreRCVerb,20,c,0.07551,0.3402
धीरे-धीरे,PreRCVerb,20,c,0.20777,1.05818
बनाया,RCVerb,20,c,1.7096,0.39232
